timestamp,load_mw,temp_c,humidity,wind_ms,rain_mm,outage,duration_min
2024-01-01 00:00:00+00:00,121.49875,22.127213,41.586792,2.3467996,0.28516993,0,0.0
2024-01-01 01:00:00+00:00,119.060486,23.876886,50.81804,1.1349133,0.06947182,0,0.0
2024-01-01 02:00:00+00:00,125.29931,20.950724,35.453438,2.7058213,0.20467958,0,0.0
2024-01-01 03:00:00+00:00,128.76463,22.871723,39.34858,1.8614905,1.7992249,0,0.0
2024-01-01 04:00:00+00:00,125.54551,21.688475,49.494877,2.1095319,1.2086638,0,0.0
2024-01-01 05:00:00+00:00,132.22537,22.330328,45.490444,3.6602683,3.1584272,0,0.0
2024-01-01 06:00:00+00:00,140.63351,22.152647,49.12497,1.8961022,2.5684803,0,0.0
2024-01-01 07:00:00+00:00,143.09332,20.8477,45.344616,1.960518,1.2183155,0,0.0
2024-01-01 08:00:00+00:00,145.25934,21.643389,44.038334,2.900703,0.81247,0,0.0
2024-01-01 09:00:00+00:00,142.0159,22.25613,41.17005,3.6888943,0.7151865,0,0.0
2024-01-01 10:00:00+00:00,143.06752,21.888948,37.840763,2.3609238,0.013656032,0,0.0
2024-01-01 11:00:00+00:00,138.75388,24.406443,53.63834,4.5427175,0.63466525,1,27.889814
2024-01-01 12:00:00+00:00,133.31752,23.566576,54.527805,1.7375321,0.35414955,0,0.0
2024-01-01 13:00:00+00:00,133.8219,22.490915,38.844078,1.634081,0.2179907,0,0.0
2024-01-01 14:00:00+00:00,132.0074,20.91553,38.74054,1.5860552,1.0428962,0,0.0
2024-01-01 15:00:00+00:00,130.12286,20.828518,43.10762,1.5246055,0.55502987,0,0.0
2024-01-01 16:00:00+00:00,135.73444,25.029572,47.309204,3.058095,0.7617005,0,0.0
2024-01-01 17:00:00+00:00,135.07957,20.55833,43.970406,1.9304898,0.17518221,0,0.0
2024-01-01 18:00:00+00:00,141.8247,22.248251,48.532944,1.6593611,1.5309246,0,0.0
2024-01-01 19:00:00+00:00,140.15907,22.623188,44.84815,3.1047366,0.41041052,0,0.0
2024-01-01 20:00:00+00:00,139.05815,21.619083,44.658836,3.6269143,0.99035466,0,0.0
2024-01-01 21:00:00+00:00,135.5675,20.587065,59.636963,3.9267042,0.4528346,0,0.0
2024-01-01 22:00:00+00:00,137.16458,20.91733,41.851265,3.6926692,0.0070985076,0,0.0
2024-01-01 23:00:00+00:00,130.37688,21.27922,55.218967,1.971242,1.0836791,0,0.0
2024-01-02 00:00:00+00:00,124.661026,21.039042,53.889805,2.9940646,0.59607184,0,0.0
2024-01-02 01:00:00+00:00,125.74937,24.099163,48.045704,3.2345994,0.06040978,0,0.0
2024-01-02 02:00:00+00:00,129.7191,22.098196,33.493847,2.302029,0.1446805,0,0.0
2024-01-02 03:00:00+00:00,132.27853,21.330486,45.73631,2.8796341,1.5713285,0,0.0
2024-01-02 04:00:00+00:00,136.33345,22.280928,41.935143,1.7540609,0.06660392,0,0.0
2024-01-02 05:00:00+00:00,141.30685,23.126728,45.25972,2.182214,0.3976428,1,31.425117
2024-01-02 06:00:00+00:00,150.70311,21.612167,39.80673,3.0960453,3.3843725,0,0.0
2024-01-02 07:00:00+00:00,147.82903,23.486372,49.926216,4.6072903,1.1104845,0,0.0
2024-01-02 08:00:00+00:00,149.03604,20.230982,51.393738,4.0673995,1.3823609,0,0.0
2024-01-02 09:00:00+00:00,147.06676,23.89896,52.196194,3.4256816,0.5029957,0,0.0
2024-01-02 10:00:00+00:00,147.38152,22.132877,42.724487,2.7951758,0.0501755,0,0.0
2024-01-02 11:00:00+00:00,144.61768,22.07859,38.936832,2.6476417,0.8382334,0,0.0
2024-01-02 12:00:00+00:00,137.82164,21.115389,47.16652,1.6377773,0.16122633,0,0.0
2024-01-02 13:00:00+00:00,133.86646,20.317438,55.584774,2.0290601,0.13807668,0,0.0
2024-01-02 14:00:00+00:00,133.72287,19.663507,45.676613,2.0523815,0.7436452,0,0.0
2024-01-02 15:00:00+00:00,138.83682,21.023651,47.776478,3.3239896,0.17912905,0,0.0
2024-01-02 16:00:00+00:00,141.63165,23.053629,43.820705,3.783811,0.6578477,0,0.0
2024-01-02 17:00:00+00:00,143.81367,20.734503,42.083412,3.5176766,0.29781243,0,0.0
2024-01-02 18:00:00+00:00,142.86215,19.85805,49.17149,4.1120977,0.6338101,0,0.0
2024-01-02 19:00:00+00:00,145.8299,20.821424,44.492115,2.7879043,0.36719137,0,0.0
2024-01-02 20:00:00+00:00,144.754,21.612076,47.649628,1.9270194,0.6528323,0,0.0
